client_id,client_type,gender,country,region,age,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,total_spend,units_bought,avg_area_sqft,cluster_id,segment
C0082,Individual,F,Usa,Virginia,42,Investment,5,No,Client,1282267.95,5,884.2239999999999,1,C1 — Global Investors
C0083,Individual,M,Usa,California,85,Home,5,No,Website,1513641.46,6,851.395,2,C1 — Global Investors
C0084,Individual,M,Usa,Wyoming,75,Home,3,No,Agency,1762231.92,5,1083.6119999999999,2,C1 — Global Investors
C0085,Individual,M,Usa,California,57,Home,4,Yes,Agency,1185505.46,4,986.395,1,C1 — Global Investors
C0086,Individual,F,Usa,California,55,Home,3,Yes,Website,1928188.6099999999,5,1354.634,2,C1 — Global Investors
C0087,Individual,F,Usa,California,44,Home,4,No,Agency,1681153.28,4,1287.6625,2,C1 — Global Investors
C0088,Individual,M,Usa,Oregon,87,Investment,2,No,Website,1450519.57,6,786.9733333333334,0,C1 — Global Investors
C0089,Individual,M,Usa,California,74,Home,3,No,Agency,1041853.81,4,854.79,1,C1 — Global Investors
C0090,Individual,M,Usa,California,41,Home,5,No,Client,980850.4199999999,5,703.798,1,C1 — Global Investors
C0091,Individual,F,Usa,California,64,Home,4,No,Website,1356644.74,4,1161.6775,1,C1 — Global Investors
C0092,Individual,M,Usa,Kansas,52,Home,3,No,Website,2817926.96,8,1218.0425,2,C1 — Global Investors
C0093,Individual,M,Usa,California,61,Home,2,No,Agency,1732558.38,5,1196.466,2,C1 — Global Investors
C0094,Individual,F,Usa,California,75,Home,5,No,Website,1062675.82,5,692.664,0,C1 — Global Investors
C0095,Individual,M,Usa,California,59,Home,3,Yes,Agency,1668973.02,6,923.105,2,C1 — Global Investors
C0096,Individual,M,Usa,California,38,Investment,3,Yes,Website,1363013.17,4,1113.615,1,C1 — Global Investors
C0097,Individual,M,Usa,Virginia,80,Home,5,Yes,Website,2189906.04,7,1061.722857142857,2,C1 — Global Investors
C0098,Individual,F,Russia,Saint Petersburg,74,Home,3,Yes,Agency,1131592.65,4,981.955,1,C1 — Global Investors
C0099,Individual,M,Usa,California,82,Investment,4,No,Website,2000308.58,6,1201.5883333333334,2,C1 — Global Investors
C0100,Individual,M,Usa,California,54,Home,3,No,Website,1449544.65,4,1174.44,2,C1 — Global Investors
C0101,Individual,F,Usa,Nevada,72,Home,3,No,Website,1125013.8,4,874.345,0,C1 — Global Investors
C0102,Individual,M,Usa,California,76,Investment,5,Yes,Website,3403263.85,9,1222.908888888889,2,C1 — Global Investors
C0103,Individual,M,Usa,Colorado,50,Home,3,No,Website,1483838.77,5,964.9799999999999,2,C1 — Global Investors
C0104,Individual,M,Usa,California,45,Home,5,No,Website,1677155.01,5,1090.3,2,C1 — Global Investors
C0105,Individual,F,Usa,California,64,Investment,2,Yes,Website,1328084.36,5,850.948,0,C1 — Global Investors
C0106,Individual,M,Usa,Colorado,70,Home,4,No,Website,957679.27,4,820.9825000000001,1,C1 — Global Investors
C0107,Individual,M,Usa,California,64,Home,4,Yes,Agency,1715058.23,5,1102.66,2,C1 — Global Investors
C0108,Individual,M,Usa,California,65,Home,4,No,Agency,1998798.72,6,1104.1699999999998,2,C1 — Global Investors
C0109,Individual,F,Usa,California,90,Investment,5,Yes,Agency,1995551.0899999999,5,1285.854,2,C1 — Global Investors
C0110,Individual,F,Usa,California,64,Investment,5,Yes,Agency,1205555.46,5,811.4019999999999,1,C1 — Global Investors
C0111,Individual,M,Usa,Arizona,44,Home,2,Yes,Website,1198421.22,4,896.7175,1,C1 — Global Investors
C0112,Individual,F,Usa,California,63,Investment,1,Yes,Agency,1775142.2,5,1115.986,2,C1 — Global Investors
C0113,Individual,M,Usa,Utah,74,Investment,4,No,Agency,1414433.46,4,1186.715,1,C1 — Global Investors
C0114,Individual,F,Usa,California,61,Home,1,Yes,Website,1124004.05,4,932.9449999999999,1,C1 — Global Investors
C0115,Individual,F,Usa,California,45,Home,5,No,Agency,1757354.59,5,1143.692,2,C1 — Global Investors
C0116,Individual,F,Usa,California,68,Investment,4,No,Website,2484590.08,8,1039.8925,2,C1 — Global Investors
C0117,Individual,M,Uk,Scotland,59,Investment,4,No,Agency,2884556.25,8,1135.78625,2,C1 — Global Investors
C0118,Individual,F,Usa,Oregon,75,Investment,5,No,Agency,1218377.19,4,1009.1225,0,C1 — Global Investors
C0119,Individual,F,Usa,California,81,Home,1,Yes,Website,1603043.92,4,1399.315,2,C1 — Global Investors
C0120,Individual,F,Usa,California,70,Home,4,Yes,Website,1753587.39,5,1243.96,2,C1 — Global Investors
C0121,Individual,M,Usa,Nevada,73,Home,2,No,Website,1169150.31,5,806.688,1,C1 — Global Investors
C0122,Individual,F,Usa,California,50,Home,1,Yes,Agency,1412560.68,4,1085.975,1,C1 — Global Investors
C0123,Individual,F,Usa,California,61,Home,4,Yes,Website,1821348.69,5,1230.6599999999999,2,C1 — Global Investors
C0124,Individual,F,Usa,California,60,Home,4,No,Agency,1613985.08,5,1184.6299999999999,2,C1 — Global Investors
C0125,Individual,M,Usa,Colorado,47,Home,4,Yes,Agency,1341108.25,4,1148.5475,0,C1 — Global Investors
C0126,Individual,F,Usa,California,51,Investment,2,No,Agency,1319929.46,5,850.052,0,C1 — Global Investors
C0127,Individual,M,Usa,Nevada,49,Home,2,Yes,Website,967474.23,4,765.085,1,C1 — Global Investors
C0128,Company,M,Usa,Nevada,60,Investment,5,Yes,Website,1639392.9500000002,5,1054.034,3,C3 — Corporate Buyers
C0129,Individual,M,Usa,Arizona,50,Investment,5,No,Website,1748372.75,4,1296.9850000000001,2,C1 — Global Investors
C0130,Individual,M,Usa,Nevada,64,Home,3,Yes,Website,1488042.88,4,1215.035,2,C1 — Global Investors
C0131,Individual,M,Usa,California,52,Home,1,No,Website,1428058.5499999998,5,928.7940000000001,1,C1 — Global Investors
C0132,Individual,M,Usa,Nevada,58,Home,1,Yes,Agency,1203775.04,4,1025.1775,1,C1 — Global Investors
C0133,Individual,M,Usa,California,77,Investment,4,No,Agency,1449799.93,4,1177.4025000000001,1,C1 — Global Investors
C0134,Individual,F,Russia,Novosibirsk,91,Investment,3,No,Website,1761669.8699999999,5,1095.602,2,C1 — Global Investors
C0135,Individual,M,Usa,Utah,84,Investment,2,No,Agency,1221442.92,4,1043.6100000000001,0,C1 — Global Investors
C0136,Individual,M,Usa,California,50,Home,3,No,Website,1892554.72,5,1244.274,2,C1 — Global Investors
C0137,Individual,F,Usa,California,66,Home,3,Yes,Website,989750.45,4,855.0699999999999,0,C1 — Global Investors
C0138,Individual,F,Usa,Oregon,84,Investment,3,Yes,Website,1367824.55,5,914.412,0,C1 — Global Investors
C0139,Individual,F,Usa,California,54,Home,5,Yes,Website,1807366.3,5,1136.694,2,C1 — Global Investors
C0140,Individual,F,Usa,California,71,Home,3,No,Website,1559561.53,5,1041.7220000000002,2,C1 — Global Investors
C0141,Individual,F,Usa,California,37,Home,5,No,Website,1765019.09,5,1088.806,2,C1 — Global Investors
C0142,Individual,F,Usa,Nevada,45,Home,3,Yes,Website,1673770.19,5,1149.396,2,C1 — Global Investors
C0143,Individual,M,Usa,California,65,Home,1,No,Website,2389960.3,8,1008.6325,2,C1 — Global Investors
C0144,Individual,M,Usa,California,69,Home,4,No,Agency,1897739.74,5,1206.354,2,C1 — Global Investors
C0145,Individual,F,Usa,California,59,Home,4,No,Website,1746571.55,5,1297.3200000000002,2,C1 — Global Investors
C0146,Individual,M,Usa,Colorado,60,Home,2,No,Website,1481536.3900000001,4,1242.6425,2,C1 — Global Investors
C0147,Individual,M,Usa,Utah,75,Home,4,No,Client,1398309.27,5,1000.47,0,C1 — Global Investors
C0148,Individual,M,Usa,Colorado,54,Investment,4,Yes,Agency,1700383.7,4,1413.5925,2,C1 — Global Investors
C0149,Individual,M,Russia,Krasnodar Krai,68,Investment,3,No,Agency,1049009.0,4,906.4850000000001,0,C1 — Global Investors
C0150,Individual,M,Usa,California,55,Home,2,Yes,Website,1846066.58,4,1500.95,2,C1 — Global Investors
C0151,Individual,F,Usa,Oregon,47,Home,1,No,Agency,1589086.32,5,1123.442,2,C1 — Global Investors
C0152,Individual,F,Usa,California,56,Investment,2,Yes,Agency,2539205.93,7,1212.7585714285713,2,C1 — Global Investors
C0153,Individual,F,Usa,California,40,Home,5,No,Website,1560375.26,5,944.0319999999999,2,C1 — Global Investors
C0154,Individual,F,Usa,California,58,Home,4,Yes,Agency,2142457.31,5,1390.49,2,C1 — Global Investors
C0155,Company,M,Usa,California,48,Investment,5,No,Agency,1622885.53,5,1097.394,3,C3 — Corporate Buyers
C0156,Individual,F,Usa,California,57,Home,5,No,Website,1344903.47,4,1102.105,0,C1 — Global Investors
C0157,Individual,M,Usa,Colorado,71,Home,2,Yes,Client,1060400.03,4,830.7675,1,C1 — Global Investors
C0158,Individual,F,Usa,Virginia,44,Investment,3,Yes,Agency,1439477.66,4,1131.4975,0,C1 — Global Investors
C0159,Individual,M,Usa,California,81,Home,3,No,Website,1596507.45,4,1336.7325,2,C1 — Global Investors
C0160,Individual,F,Usa,California,64,Home,4,No,Website,1679716.96,5,1144.06,2,C1 — Global Investors
C0161,Individual,M,Usa,California,72,Home,5,No,Website,2534264.26,9,939.4144444444444,2,C1 — Global Investors
C0162,Individual,M,Usa,California,70,Home,4,No,Website,1135363.52,4,983.24,0,C1 — Global Investors
C0163,Individual,M,Usa,Utah,37,Investment,5,Yes,Agency,1506594.21,4,1307.32,0,C1 — Global Investors
C0164,Individual,M,Usa,Arizona,37,Home,5,No,Website,1436152.54,4,1196.7975,1,C1 — Global Investors
C0165,Individual,F,Usa,California,67,Home,3,Yes,Website,1276849.33,3,1357.1933333333334,1,C1 — Global Investors
C0166,Individual,F,Usa,Arizona,39,Home,4,Yes,Agency,1273643.37,4,1025.3225,1,C1 — Global Investors
C0167,Individual,F,Uk,Scotland,68,Home,3,Yes,Website,2749577.33,7,1320.3814285714286,2,C1 — Global Investors
C0168,Individual,F,Usa,Nevada,63,Home,3,No,Agency,1491785.87,4,1329.6025,2,C1 — Global Investors
C0169,Individual,M,Usa,Ohio,33,Investment,5,Yes,Agency,688864.2,3,845.8633333333333,0,C1 — Global Investors
C0170,Individual,M,Usa,California,74,Home,5,No,Website,1161316.17,3,1339.7466666666667,1,C1 — Global Investors
C0171,Individual,F,Usa,Washington,32,Investment,5,Yes,Client,1278753.71,4,1070.72,1,C1 — Global Investors
C0172,Individual,F,Usa,Washington,31,Home,1,Yes,Agency,1681471.9100000001,4,1572.79,2,C1 — Global Investors
C0173,Individual,F,Usa,Arizona,47,Home,5,Yes,Agency,2619968.43,8,1074.5925,2,C1 — Global Investors
C0174,Individual,F,Usa,California,41,Investment,3,No,Client,865359.73,3,869.7866666666667,1,C1 — Global Investors
C0175,Individual,M,Usa,Washington,61,Home,5,No,Agency,1606138.1199999999,4,1313.38,2,C1 — Global Investors
C0176,Individual,F,Usa,California,30,Home,2,No,Website,2681927.91,6,1514.8,2,C1 — Global Investors
C0177,Individual,F,Uk,England,72,Home,5,Yes,Website,2269897.21,7,1160.9514285714286,2,C1 — Global Investors
C0178,Individual,F,Usa,Virginia,71,Home,4,No,Agency,2665917.96,7,1284.9985714285715,2,C1 — Global Investors
C0179,Individual,F,Usa,Oregon,37,Investment,2,No,Website,2131372.11,8,947.5450000000001,2,C1 — Global Investors
C0180,Individual,M,Usa,California,80,Home,2,Yes,Agency,2660292.37,7,1249.51,2,C1 — Global Investors
C0181,Individual,M,Usa,Texas,53,Home,2,Yes,Website,2047189.62,7,974.1771428571428,2,C1 — Global Investors
C0182,Individual,F,Germany,North Rhine-Westphalia,52,Investment,1,Yes,Website,3082362.35,8,1246.94625,2,C1 — Global Investors
C0183,Individual,M,Usa,Nevada,35,Home,3,No,Website,1883106.92,7,907.1042857142857,2,C1 — Global Investors
C0184,Individual,M,Usa,Florida,29,Home,1,No,Website,2618938.16,6,1481.7150000000001,2,C1 — Global Investors
C0185,Individual,F,Usa,Nevada,78,Home,4,Yes,Agency,2491911.81,7,1137.2942857142857,2,C1 — Global Investors
C0186,Individual,F,Usa,Virginia,41,Home,1,No,Website,2674286.63,8,1100.27125,2,C1 — Global Investors
C0187,Individual,F,Usa,Florida,33,Home,1,No,Website,2066651.1400000001,6,1135.37,2,C1 — Global Investors
C0188,Individual,M,Usa,Oregon,83,Home,5,Yes,Website,2891447.6,7,1263.962857142857,2,C1 — Global Investors
C0189,Individual,F,Usa,California,65,Home,2,No,Agency,2209659.42,7,1024.6857142857143,2,C1 — Global Investors
C0190,Individual,F,Usa,California,52,Home,2,No,Website,2276701.17,7,1049.1542857142856,2,C1 — Global Investors
C0191,Individual,F,Usa,Florida,46,Home,3,No,Agency,2172926.7600000002,8,913.8512499999999,2,C1 — Global Investors
C0192,Individual,F,Belgium,Brussels,39,Investment,2,Yes,Website,2900509.0999999996,7,1304.7214285714288,2,C1 — Global Investors
C0193,Individual,F,Usa,California,55,Investment,4,Yes,Website,1933778.2399999998,7,962.7214285714286,2,C1 — Global Investors
C0194,Individual,M,France,Ile-De-France,70,Home,5,Yes,Website,2759372.27,7,1237.292857142857,2,C1 — Global Investors
C0195,Individual,M,Usa,California,76,Home,2,Yes,Website,2102233.85,7,1029.2714285714285,2,C1 — Global Investors
C0196,Individual,M,Usa,Nevada,66,Investment,5,No,Agency,2611736.44,6,1411.9466666666667,2,C1 — Global Investors
C0197,Individual,M,Usa,Virginia,79,Home,4,No,Client,2775768.6,8,1082.87,2,C1 — Global Investors
C0198,Individual,F,Usa,California,47,Home,4,No,Website,2399689.67,8,997.5475,2,C1 — Global Investors
C0199,Individual,M,Usa,California,65,Home,3,No,Agency,2582959.87,7,1162.7385714285715,2,C1 — Global Investors
C0200,Individual,F,Usa,California,79,Home,1,No,Agency,1071359.3900000001,4,920.7075,1,C1 — Global Investors
C0201,Individual,F,Usa,California,55,Home,1,No,Agency,1298787.54,4,1147.435,0,C1 — Global Investors
C0202,Individual,M,Canada,British Columbia,27,Home,1,No,Website,1019272.5900000001,3,1049.3799999999999,0,C1 — Global Investors
C0203,Individual,F,Usa,California,67,Home,4,No,Client,1242478.83,4,916.0375,1,C1 — Global Investors
C0204,Individual,F,Usa,California,76,Home,5,No,Agency,934432.98,3,1042.7266666666667,0,C1 — Global Investors
C0205,Individual,F,Mexico,Puebla,55,Home,1,Yes,Agency,949224.48,3,1072.7266666666667,0,C1 — Global Investors
C0206,Individual,F,Usa,California,66,Home,1,Yes,Agency,853060.9299999999,3,851.4266666666667,1,C1 — Global Investors
C0207,Individual,M,Usa,Virginia,79,Investment,4,No,Website,889948.76,3,1104.51,1,C1 — Global Investors
C0208,Individual,M,France,Provence,37,Home,4,Yes,Agency,1199654.38,4,997.4100000000001,0,C1 — Global Investors
C0209,Individual,M,Usa,Arizona,74,Investment,3,No,Agency,979868.13,4,794.1275,0,C1 — Global Investors
C0210,Individual,F,Usa,Colorado,80,Home,2,No,Website,1346156.55,4,1135.53,1,C1 — Global Investors
C0211,Individual,F,Usa,California,51,Home,3,No,Agency,1254240.07,4,1053.27,0,C1 — Global Investors
C0212,Individual,M,Usa,California,67,Home,4,No,Agency,1068278.76,3,1224.68,1,C1 — Global Investors
C0213,Individual,M,Usa,Florida,47,Investment,5,No,Agency,809691.13,3,897.3100000000001,0,C1 — Global Investors
C0214,Individual,F,Belgium,Brussels,77,Investment,5,No,Website,1070534.6400000001,3,1179.5233333333333,1,C1 — Global Investors
C0215,Individual,F,Germany,Hamburg,24,Investment,4,No,Website,1032856.46,3,1110.27,1,C1 — Global Investors
C0216,Individual,M,Usa,Utah,24,Home,1,No,Website,1352642.3399999999,4,1063.04,0,C1 — Global Investors
C0217,Individual,F,Usa,Colorado,39,Home,3,No,Website,1238434.91,4,1019.1225,1,C1 — Global Investors
C0218,Individual,F,Usa,California,53,Home,2,No,Website,836639.27,3,913.6700000000001,0,C1 — Global Investors
C0219,Individual,M,Usa,California,35,Home,4,No,Website,1267653.57,4,1035.1925,0,C1 — Global Investors
C0220,Individual,M,Canada,Ontario,72,Investment,1,No,Website,1060812.68,3,1101.55,1,C1 — Global Investors
C0221,Company,F,Usa,California,36,Home,5,No,Website,1377133.5999999999,4,1186.5225,3,C3 — Corporate Buyers
C0222,Individual,M,Usa,Utah,67,Investment,3,No,Agency,1223560.82,3,1517.47,1,C1 — Global Investors
C0223,Individual,M,Usa,Colorado,50,Investment,3,Yes,Website,969341.87,4,837.5225,1,C1 — Global Investors
C0224,Individual,M,Usa,Colorado,63,Home,5,No,Website,1189255.63,3,1330.2166666666667,1,C1 — Global Investors
C0225,Individual,F,Usa,California,75,Home,1,Yes,Agency,1120626.94,4,905.7525,0,C1 — Global Investors
C0226,Individual,F,Usa,Colorado,65,Home,2,No,Website,1571251.03,3,1599.3433333333332,2,C1 — Global Investors
C0227,Individual,F,Usa,Arizona,79,Home,5,Yes,Website,942245.37,3,1104.51,1,C1 — Global Investors
C0228,Individual,F,Usa,Oregon,71,Investment,4,No,Website,606605.72,3,610.62,0,C1 — Global Investors
C0229,Individual,M,Usa,Colorado,42,Investment,5,No,Website,892220.13,3,900.46,1,C1 — Global Investors
C0230,Company,M,Usa,Nevada,46,Investment,4,Yes,Website,1457429.02,4,1104.2925,3,C3 — Corporate Buyers
C0231,Individual,M,Denmark,Central Denmark,30,Investment,2,Yes,Website,729893.08,3,849.6366666666667,1,C1 — Global Investors
C0232,Individual,F,Usa,California,61,Home,3,Yes,Website,1276710.4900000002,4,1036.6525,1,C1 — Global Investors
C0233,Individual,M,France,Provence,26,Home,4,Yes,Website,1105806.54,4,914.3125,1,C1 — Global Investors
C0234,Individual,F,Usa,New York,44,Home,1,Yes,Website,839967.04,3,973.09,1,C1 — Global Investors
C0235,Individual,M,Usa,California,74,Home,5,No,Website,1268586.58,4,1092.085,1,C1 — Global Investors
C0236,Individual,M,Canada,Manitoba,51,Home,3,No,Agency,1321475.69,3,1449.5,0,C1 — Global Investors
C0237,Individual,M,Usa,California,39,Home,5,Yes,Website,1392353.31,3,1630.1366666666665,2,C1 — Global Investors
C0238,Individual,F,Usa,Virginia,41,Home,4,Yes,Agency,1125732.72,3,1125.17,1,C1 — Global Investors
C0239,Individual,F,Usa,Oregon,50,Home,3,Yes,Website,1352763.67,4,1011.5799999999999,0,C1 — Global Investors
C0240,Individual,F,Usa,Colorado,81,Investment,3,No,Website,935028.28,3,1022.67,0,C1 — Global Investors
